,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1444,78,notebook,takin,concrete,19,cancelled,favorite,wax
1445,mass,iba,charger,backup,katy,resent,blog,votos
1446,transit,bring,disappear,sensor,tx,reason,include,candy
1447,gas,physical,together,beep,luv,emotionally,shh,store
1448,lining,science,earning,lamo,omq,fredonia,lolol,coolest
1449,freeloader,algebra,250000,bro,dryer,havin,galaxy,fuzziwigs
1450,cut,tummy,add,disney,af,academic,theatre,factory
1451,pisse,dwn,investment,california,action,convo,uhm,newlywed
1452,heart,baebee,income,adventure,djtoodrunk,sex,change,jay
1453,tanning,filming,1000th,park,hoy,form,battle,jus
1454,early,fallout,blood,channel,vi,mugged,laying,near
1455,wrinkling,nuka,pressure,keyboard,studio,train,twerking,suit
1456,customized,freezing,baby,pleasee,bello,chicago,twerk,fifth
1457,heck,california,kick,omgg,california,stole,fein,sf
1458,mac,sleepy,deserve,luis,type,voicemail,knock,foot
1459,stacke,ohio,respect,yovehiraas,himm,fail,nap,massage
1460,built,water,eric,halo,oovoo,txtd,”,hummus
1461,finna,hospital,watched,thick,textbook,called,realizing,praying
1462,pop,awaiting,robin,homie,besties,beyond,pay,wild
1463,mr,bug,hoo,fag,kelssc,chelly,charming,fusion
1464,ingram,jailbreak,men,refuse,strobel,bffs,alot,blurry
1465,grr,io,tights,fool,yayy,corvallis,190s,srk
1466,aching,hun,appreciated,crowd,kylee,trust,tuesday,rent
1467,13,thankful,rousing,winky,joined,havee,obsessed,svg
1468,'best,drill,rendition,suppose,wearing,nobody,kellin,tinymite
1469,wouldnt,sergeant,mel,jose,sweater,teach,quinn,community
1470,idol,sc,brook,aim,taking,basketball,voice,damon
1471,ingnore,massage,danza,completely,bubble,idek,depressing,wiz
1472,raspberry,double,korudo,blown,bath,barely,outchea,khalifa
1473,iced,toll,pit,atleast,ْ,ran,rastaman,lovinn
1474,tea,yuu,bull,save,wasted,doesnt,square,`
1475,sweetened,tania,dmx,money,roit,rainbow,chat,knods
1476,planned,didnt,brotherinlaw,fucked,charley,smokin,fbook,forth
1477,successful,purpose,ipod,keno,shocking,weed,detail,visit
1478,gifte,thoo,yep,dragged,behalf,meet,deep,thousand
1479,succeed,happened,loving,sky,landon,cheek,mine,failed
1480,purpose,finchel,presence,dating,slapped,forehead,gay,mercy
1481,k,rachel,preaching,garrett,piggy,version,mi,ho
1482,nielson,sucked,e,hated,drink,neyo,hermana,hoo
1483,seem,ep,suer,suddenly,lakeville,email,tan,potomac
1484,walmart,tyler,button,chunk,grinch,god,solo,practice
1485,freezing,blake,post,theresa,noone,secret,años,tmm
1486,moron,canada,couch,spencer,lols,american,echandose,tonite
1487,sock,often,ask,tyler,enjoyed,teenager,esa,spider
1488,lucky,knew,cop,yea,profile,canceld,crema,blu
1489,havent,hip,drug,sadly,packet,breaking,son,ray
1490,talked,barely,plant,indoors,exhale,dawn,para,heatn
1491,upp,hater,yuu,order,bc,moved,espinias,pad
1492,sweetart,“,foh,skyfall,pulled,emojis,jajaa,problem
1493,mornin,medium,stud,conveyor,offo,sweetest,ayye,matt
1494,everynight,portrayed,apologize,sushi,hoe,20something,kazoozles,jenna
1495,neverr,chicken,told,anyways,peanut,piss,bull,awkward
1496,skinny,kickin,hocker,um,butter,especially,blueberry,adorable
1497,ree,missing,graduate,till,colorado,beaut,swishers,everyday
1498,overprotective,push,geez,itget,jan,houston,limar,grabbing
1499,cuase,setting,retail,weirded,visiting,somebodyy,aww,ouu
1500,auntie,retweet,buste,grocery,804,throat,sorry,absolutely
1501,pero,amen,steelers,store,gonn,half,lip,vanilla
1502,yeeaauh,grammar,wr,awew,llfs,cc,biting,twist
1503,wad,balance,fined,matthew,tiny,office,sexy,rainbow
1504,match,word,15000,hur,snuggly,sage,l,colonia
1505,kicked,hyourt,faking,watt,asking,orange,king,dairy
1506,semi,especialy,cramp,buggout,planned,maine,yesenias,maid
1507,kidding,some1,raised,haate,ryan,coon,gorgeous,112511
1508,yough,oyout,exhausted,ugly,headin,tour,ol'girl,cuff
1509,mini,flawsyou,excuse,pour,truck,noww,makin,☔☀⛄
1510,sends,youp,nicee,drank,pointer,sobra,bc,100
1511,flirt,believin,ignore,headshot,grey,sana,hacked,degree
1512,saw,insicyoure,kid,stand,goose,ganun,tgough,freezing
1513,waved,company,bomb,pas,spot,kadali,locked,hmm
1514,acted,dallas,hahaha,faded,kenya,alisin,streaking,snapback
1515,skidded,petrifies,hamster,poor,stomach,kung,ole,rocknit
1516,aurora,terrified,katie,forever,thoo,pwdi,save,patiently
1517,tryin,alligator,correr,tune,diggin,lang,goldfish,anxioyously
1518,help,sobering,todo,kfc,10,berry,burning,waitin
1519,bitchass,yesterday,el,ending,diego,fests,story,younderstand
1520,kayla,49,dia,raven,21st,doo,building,alot2organizeship
1521,hype,jingle,mi,goodnight,shoutout,merrp,known,josh
1522,tl,ball,cabeza,supporting,kelsey,bonnie,becausee,member
1523,sheetz,2012,chapter,workplace,17th,clyde,cooky,known
1524,foreal,weaveless,lecture,bec,y'all,”,icecream,comfortable
1525,loser,found,60,habit,eye,conversation,buying,sued
1526,behin,miami,ryans,burger,brown,staay,alcohol,carly
1527,hubby,rocketship,crabby,grill,wonky,heck,twin,rae
1528,mart,cracking,meuh,sat,hyounter,paul,legit,march
1529,praying,stopwatch,special,showering,sched,bracelet,ship,killing
1530,bug,december,thesee,iron,chargin,fudge,clemson,ciera
1531,skip,essay,jk,blow,ph,freaking,acc,mr
1532,charming,yellow,circus,sugar,mayou,biggest,vandyclemsons,saxobeat
1533,75,packet,ole,jesus,prob,yep,bowl,memory
1534,degree,eehh,ahaha,wheel,die,uptown,predictable,orientation
1535,funny,☝,hmm,forgive,c,location,planet,joining
1536,waiting,hart,sneaky,native,phil,magazine,tv,tag
1537,shaina,auxiliary,bowling,joey,lakers,aline,'ll,instagram
1538,magdayao,gym,laurenwar,armadillo,lip,serve,find,open
1539,birthday,—,carolyn222,2day,lick,food,madea,happens
1540,prod,✋,stevencallori,thanx,eveytime,martin,anyways,50
1541,printer,bih,atownmlh,sisterinlaw,summin,metairie,carlos,cent
1542,replace,strict,19gman98,pie,virgo,alexis,lily,jayz
1543,akskdksosxmxsoslxx,questing,brunswick,conclusion,regret,bathrobe,waisted,dogg
1544,aioocdn,drop,zone,emoji,understanding,chillin,pant,v
1545,kncmsowmx,group,figure,drooling,empathy,decide,wrote,foxx
1546,stair,joking,within,hammer,key,skool,slow,flapped
1547,meet,jrd,ofabout,dropped,arre,tall,blame,rick
1548,lex,cigs,faster,studying,varsity,gyoyouys,hashtag,ross
1549,luthor,dying,campus,quick,bowl,bryce,dyouck,mama
1550,te,gymnastics,weather,picking,relaxing,vacation,officially,floyd
1551,bond,tour,critical,tat,ahh,question,headache,danced
1552,thornton,newark,analysis,ato,buggin,bout,learn,slept
1553,14,disappointed,colorado,partner,rn,thick,geez,dixon
1554,skyfall,totally,franchisee,formal,sitta,dm,educate,precious
1555,fuuck,inbox,applebee,looked,ty,read,dinner,melted
1556,cheek,mari,shld,fil,lean,cazy,sushi,cutest
1557,thigh,reply,protect,kidding,smoke,evol,cuisine,grandmother
1558,tongue,nba,attn,comment,blunts,spell,vega,tounge
1559,obf,boston,thru,rilee,nah,bleacher,sleep,blue
1560,congrats,cock,wallet,king,screensaver,named,woke,237th
1561,pac,callhorrible,overstuffed,amir,lebron,tryed,karinas,monterey
1562,homecoming,tough,build,stupid,muh,threw,spencer,soccer
1563,scheduled,ucla,f,figure,root,qb,thrown,shadow
1564,agasint,cable,ryouss,pinky,canal,interception,bush,kicked
1565,cx,sparkly,woyould,promise,rince,calling,hmu,chathams
1566,thousand,bengal,smile,✨,céilí,laying,early,xxo
1567,servicefundraiser,shirt,mass,spent,halla,cuddling,biggest,allowed
1568,check,lesbian,transit,softball,bharra,listening,mistake,aaron
1569,photo,forreal,gas,view,daltaí,ti,alcoholic,partner
1570,uploade,flat,lining,complex,gaeilge,heartbeat,emagine,doesent
1571,goodbye,screen,freeloader,tie,jamison,drove,letcher,cheat
1572,bitchy,tv,cut,wooww,latest,ship,county,parent
1573,harder,fish,pisse,craving,naa,amazon,dadthey,1000
1574,le,tank,eyebrow,chocolate,yo,early,cant,anyone
1575,attractive,hi,tanning,halloween,light,nyquil,eachother,help
1576,pinterest,trap,deal,candy,rain,grandpa,meno,classy
1577,sanctuary,inside,wrinkling,cutest,pointing,may,fag,953rd
1578,allowed,minute,customized,puppy,bandaid,ankle,bag,girll
1579,kind,ignition,heck,micheal,knuckle,within,turd,weeki
1580,drama,expensive,mac,k,press,super,shurd,job
1581,everyday,fml,stacke,vinegar,floozy,hug,official,normita585
1582,roach,looksconnections,built,male,sz,adele,van,raku
1583,starting,whoever,justin,orgasm,sushi,sweet,slightly,lift
1584,york,sayin,bieber,agree,zushi,tha,stoopid,french
1585,seen,crap,boston,lot,owe,root,iowa,crepe
1586,halloween,sent,performing,r,texted,visited,cry,company
1587,hahahah,version,hated,somewhere,kill,burlington,help,farmer
1588,soccer,hmm,aching,woah,awh,twice,lyke,market
1589,knee,laundry,13,havent,body,comiendo,wut,grove
1590,view,homework,'best,talked,heat,panda,crime,filled
1591,petraeus,wifi,throw,waah,teenage,express,matching,bantu
1592,resigne,burfday,greatest,negro,angst,rtrt,clutch,knot
1593,dancing,particular,present,retail,roflmao,rip,raleigh,spoiled
1594,sweet,mike,wouldnt,kissed,estoy,apir,bar,^
1595,caroline,byob,idol,course,chistosa,ate,wasted,4x4
1596,wedding,oregoncal,ingnore,kristen,andrew,kyle,danced,style
1597,yasmin,rodgers,raspberry,hilarious,kevins,absolute,60,fry
1598,shemesh,played,iced,famous,bcuz,pga,woman,breezyy
1599,sat,cal,tea,gorgeous,forgot,seated,shiit,roco
1600,top,whiskey,sweetened,basket,dorianos,quick,faster,men
1601,rachet,rum,em,toss,chillen,service,wen,exist
1602,ga,buzzedrelaxed,gee,pocket,stressed,waitress,weird,ima
1603,southern,shoyouldnt,austin,commercial,hhave,training,belly,baybay
1604,cockblockin,c,dmed,apparent,son,lot,button,booboo
1605,cleaned,247,abc,whyy,disappear,intention,natasha,took
1606,ssu,nope,suffer,hubby,mr,30,injury,panda
1607,female,bronco,bitchassness,bajillion,barack,daniel,d'aw,urself
1608,hahaa,yup,gianni,swe,obama,john,kik,queen
1609,tuu,x,pizza,swe12,wy,walker,send,ooraine
1610,tss,cord,worry,conference,watchin,complex,0,lauriol
1611,tu,wood,heaven,applying,perry,consession,susda,plaza
1612,caliente,tommarow,slamming,utah,smell,stand,alike,dyoumb
1613,conmigo,foreva,brake,az,bullshiitt,khara,shxt,boring
1614,redskin,position,becayouse,debating,bed€£¥®©,pissing,doesnt,expected
1615,guar,1111,gyouys,upershoutout,cashier,channel,haircut,fyoun
1616,kenny,mot,askin,exiisalute,hittin,pleasee,hm,blessed
1617,person,aand,honestly,･゜ﾟ･,willoughby,understands,doctor,decked
1618,af,poster,scott,｡,planing,eyeliner,shrimp,din
1619,doctor,sight,aka,･,thru,waterline,daddy,woodbury
1620,normal,sound,successful,zone,train,system,jump,hap
1621,remind,chosen,gifte,myspace,autumn,imissed,octave,octopustudio
1622,wat,decide,succeed,gusta,mama,mugshot,flip,elwood
1623,deep,rancho,purpose,zach,alumnus,hmm,channel,flight
1624,add,titty,nielson,effron,billy,hittin,adult,denzel
1625,social,seth,seem,held,student,hmu,swim,weakness
1626,network,couch,walmart,recently,manage,slightly,within,gorgeous
1627,momma,tryna,freezing,acquired,horror,cole,hear,anchor
1628,fireball,eat,moron,extreme,affiance,foursquare,lying,wing
1629,aroun,broken,sock,squirrel,hoosier,lmu,perc,hiring
1630,teonna,mainstream,lucky,7,dam,yoga,jean,process
1631,thiss,conservative,actin,lovely,bike,guard,needwant,opening
1632,boyy,annoying,loser,photo,hauling,#,anymore,apply
1633,phonee,habit,jammies,riff,played,expected,revamped,order
1634,facesnames,losing,fml,raff,stoked,summer,walking,ticket
1635,immediately,extremist,havent,hahah,matlacha,schedule,dozen,possible
1636,ethicist,letting,talked,allen,bella,nw,doughnut,odon
1637,column,redefine,forever,colt,starve,takutan,judged,jam
1638,evidence,shittin,upp,panorámica,incredible,tayo,conversation,seshes
1639,han,ju,sweetart,dundas,blackjack,kaya,kauryn,shank
1640,awkwar,luh,trynna,lane,afternoon,mo,tail,second
1641,johnny,pointless,kardashians,lofting,campaign,abscbn,special,hanny
1642,aj,yeaapp,kourtney,fast,retweeting,halloween,husband,crush
1643,mccarron,jaw,kim,ughh,ny,special,mg,direction
1644,father,license,everynight,f,frankenmuth,evening,momo,group
1645,radio,canadian,neverr,tlk,harry,timing,finding,owiee
1646,wack,finna,everything,bit,whew,dr,petrius,stank
1647,used,hollywood,bunny,downside,flak,nut,blocked,hahahahah
1648,rub,lovee,cupid,probly,kevlar,purpose,grabbed,loss
1649,leg,dress,shuffle,nigga,expecting,instagram,rebound,strip
1650,passion,sudden,ree,casted,sewing,666,free,championship
1651,skin,practice,overprotective,poo,moved,hardly,throw,shocked
1652,went,peach,cuase,splattered,closet,ohh,oracle,kiwi
1653,devin,ring,auntie,damariscotta,wid,ualbany,arena,five
1654,beat,candyy,pero,roomy,figured,mustache,dutch,daayyuumm
1655,downtown,happening,busy,read,moncia,scout,oven,omw
1656,leslie,slim,help,soda,hanngout,canada,megan,hand
1657,full,bc,yeeaauh,deliciousness,madison,yoho,masturbation,shaking
1658,bunch,noah,wad,chemically,sad,reserve,believing,knowing
1659,niice,singing,kicked,safe,heard,istill,gingerbread,stoked
1660,hangout,tmrw,semi,consume,drop,aint,followed,rather
1661,fcking,partying,kidding,jugo,nuybeauty,dis,follow,tit
1662,careless,forth,yough,bien,sara,tyme,choice,mimi
1663,babe,quinceañera,mini,lo,hula,dang,badass,roger
1664,hearing,handsome,sends,admito,hut,taller,shitt,rocka
1665,nature,bias,flirt,tuvimos,ihop,belief,sendin,dancing
1666,made,tag,incredible,un,sharp,640,monica,908
1667,tweegram,however,singer,mal,aquos,mee,seija,cuzzo
1668,highly,needed,waved,juego,mucho,wuut,pictured,shay
1669,tropical,swan,acted,al,hillarious,mornin,camera,daisha
1670,smoothie,blog,skidded,final,lame,strength,mercat,bdt
1671,cafe,crohn,aurora,fue,cardigan,towards,planxa,chick
1672,greenbelt,ttp,beach,nuestra,boot,connecticut,plane,funniest
1673,door,ericsherred,gulf,culpa,helpp,whaack,crashed,jcpenney
1674,stare,com,shore,ir,laughh,york,fire,boca
1675,freaking,qnode,unnecessary,liguilla,gurll,mmhmm,cyous,raton
1676,enjoy,2f3,hashtags,betrayed,shorty,syounday,chillin,resort
1677,complaining,relate,tryin,matt,ayye,cici,happens,bay
1678,allow,random,bitchass,lauren,nsu,battery,sweetie,bedding
1679,gah,afraid,note,whenever,bruk,lasted,anytime,saving
1680,giving,possibly,television,poetic,ne,low,promise,oak
1681,texters,1d,law,justice,remains,started,xx,liquid
1682,bestfriends,appearance,texted,alrighh,couldnt,begging,attractive,eyeliner
1683,trustloyalty,tend,chugged,14th,830,kwisten,ecuadoriana,spelled
1684,bt,cripple,pepsi,near,αδκ,probably,unsa,grammer
1685,gf,encourage,ok,trouble,malled,busy,nga,charile
1686,lauren,nina,kayla,dans,saloon,sport,hala,erinash77
1687,gone,sounded,hype,reminds,grows,referee,lech,jo
1688,threw,bottled,tl,remind,animal,jamaica,hahhaha,chilling
1689,pushing,hotel,sheetz,snuggled,orleans,deer,raining,jenny
1690,ten,paranoid,hungry,ahead,arno,mentally,leí,ronnie
1691,due,yeh,foreal,exactly,yyoumm,preparing,300,humble
1692,monday,tl,behin,stronger,miami,iniicip,vapiano,abode
1693,mexico,explosion,hubby,shake,pyoub,darating,everybody,greatest
1694,mike,indy,wal,auburn,✨,yung,thanksgiving,hopefully
1695,aa,dangit,mart,fan,pyoubbelly,minahal,blue,blow
1696,pants…,olympian,praying,act,frustrated,ng,honor,alma
1697,icant,td,charming,jr,shush,ganito,raines,mention
1698,920,dumb,75,seek,tommorow,hated,wedding,asleep
1699,stupidest,bestfriends,degree,buca,dt,outback,two,bit
1700,effing,porch,complain,beppo,doesnt,coworkers,closest,casa
1701,sleeve,630,hockey,control,cancel,pookie,married,goodwins
1702,sweater,hilarious,milf,bronx,bull,taylor,whutt,sign
1703,blatantly,treatment,funny,yoyour,wiener,swift,name,jeep
1704,kanji,hr,cooky,swing,guitar,bbay,mary,hop
1705,smooth,mia,lazy,giving,drum,20min,jane,missy
1706,saban,remembered,chocolate,whiplash,sleeping,disgusting,nothside,lemon
1707,sibling,complete,chip,asking,siren,bread,fort,dating
1708,require,coco,bike,22,met,pudding,burnbook,perf
1709,orgasm,dang,purple,stopped,kellin,leftover,instagram,coyould
1710,gym,gurl,sparkly,cv,bombshell,needed,grab,cyoum
1711,discovery,layed,barbie,rapper,starving,columbus,chris,hide
1712,american,fer,waiting,dat,loved,2nd,warren,plane
1713,christian,regret,shaina,minyoute,llh,com,twc,mission
1714,truly,putting,magdayao,ard,straight,hearing,frida,hillssfv
1715,democracy,bitch,prod,hyoungry,fool,disappear,2k12,angeles
1716,america,anoter,excite,highh,vicious,4g,attracted,cali
1717,nee,siezure,relationship,missed,police,aunt,ricky,individuality
1718,realizing,roasted,toilot,gma,popo,paranormal,bobby,lesbian
1719,flipping,corn,akskdksosxmxsoslxx,died,5o,button,sob,donate
1720,timonium,polish,aioocdn,mee,pig,world,goodbye,sperm
1721,basketball,sausage,kncmsowmx,marked,daytona,victory,yung,flattered
1722,hardly,turkey,met,required,happens,distracting,nawala,inlaw
1723,livin,leg,angelica,trunk,clothesat,hella,ka,frigin
1724,elijah,caramel,quiet,fr,english,cruisin,tpos,caught
1725,writting,fried,af,aside,homework,listenin,talo,recent
1726,dm,oreo,ratchet,tl,row,jason,pa,episode
1727,clownn,realizing,stair,discussing,inman,aldean,si,smell
1728,christina,golf,meet,football,preseason,clear,flash,taste
1729,aguilera,ctfu,chente,volleyball,county,gim,sa,np
1730,gwen,17,oc,championship,tournament,becky,pag,jennifer
1731,stefani,fuk,iaint,tempted,selena,rebecca,habol,lopez
1732,fraternal,oregon,nowhere,wichita,flannel,bg,ng,j
1733,twin,general,babe,mommy,blushing,empty,train,gone
1734,wil,betray,caught,asks,niggaa,apartment,watta,g00d
1735,soft,badly,middle,respond,sent,disney,experience,abel
1736,girly,entonces,bond,tee,lmfaoo,fix,hurry,nias
1737,equally,horas,thornton,watchinq,camming,light,weirdest,timpano
1738,talented,llega,14,dance,mfc,disneyway,tranny,italian
1739,izzylun,pa,skyfall,danza,cam,traffic,cubbyhole,chop
1740,d8,ponerme,fuuck,korudo,scavenger,backed,4th,venes
1741,energysolutions,guapo,cheek,pit,hunt,awhile,dr,everytime
1742,arena,bueno,thigh,bull,40,winchester,akward,worhle
1743,cooky,e,twister,dmx,jk,va,kissing,drool
1744,imu,puede,congrats,playing,nea,basically,else,scottie
1745,yall,jajajajajaja,pac,ipod,skillz,worst,disgustedly,robbie
1746,punise,brincos,scheduled,yep,bradtaquino,naw,cutting,pile
1747,xochitl,diera,agasint,roger,canvas,foreal,crap,british
1748,clothes,meh,happening,gunna,review,shiit,ahí,cocktail
1749,freakin,eating,cx,fran,♠,blood,te,nomad
1750,village,cereal,thousand,nope,♣♦,looser,hablan,dreamy
1751,idiot,non,youth,clue,fyounny,cam,stockzero,needa
1752,sorry,lately,sigh,interest,maple,alive,deb,partay
1753,v,beyond,servicefundraiser,dunno,grandmumsy,strong,allen,melt
1754,technology,angry,photo,flirt,33,bag,jb,statue
1755,english,crushed,uploade,guest,yoyouyou,plane,fighting,chinatown
1756,project,bragging,goodbye,supes,missin,ma'riah,subtweet,normal
1757,speak,brag,cuddle,awk,loyounge,giving,colt,oops
1758,louder,diploma,curt,mellow,hahahah,sentimental,45,awe
1759,lord,roaming,depend,mushroom,meant,value,throwback,corngod
1760,mercy,hall,sanctuary,clemson,aaron,exwife,helicopter,castle
1761,side,burke,allowed,officially,murray,competition,air,kush
1762,nudging,ni,fuckin,17,softball,listen,station,8th
1763,belly,pedo,coffee,wash,blasian,'tdealwithoutyou,info,bby
1764,douglas,ver,helping,dump,3d,nayarit,lmaoo,step
1765,moss,twilight,kind,anyway,preston,taco,bestfriend,chassis
1766,creep,telemundo,drama,bhahahaa,stupid,difficult,seafood,parking
1767,laughin,tonite,everyday,rightt,victoria,stopped,drink,football
1768,watchin,dressing,roach,neighbor,secret,paying,nowadays,tight
1769,raymon,choice,starting,weirdd,rubb,attention,insurance,pant
1770,messing,molcalsalsa,york,hack,mystery,centipede,president,norva
1771,course,pandora,halloween,hardcore,kk,whore,palmer,rain
1772,anywhere,response,gum,meh,011,imagino,mixed,everybody
1773,badly,asking,wander,driving,uilabel,aria,kk,tucked
1774,lay,shooting,jump,midnight,wth,quiero,loyoyouis,tiger
1775,ratchet,across,view,bluewave,younger,wheelchair,dirty,future
1776,drove,agreed,petraeus,shamee,18,changed,bastered,jordin
1777,chocolate,seemingly,resigne,neck,300,gottah,wyoyouts,hungry
1778,waste,member,broke,racist,mile,fwm,motion,bomb
1779,51,pin,dancing,rasicst,00,fw,backyard,urban
1780,wondering,doll,caroline,landens,042,somebdy,turning,outfitter
1781,pee,smoking,wedding,kenzie,70,reply,janitor,entire
1782,remembered,blunt,yasmin,raymondbub,°f,mayb,norway,followback
1783,san,tattooed,shemesh,angel,8mph,drink,chugged,wall
1784,jose,sprit,witnessed,cu,ese,catch,tummy,precipitate
1785,dark,truth,midget,momma,64,tea,freezing,jolie
1786,law,fucked,twerking,teacher,%,yoloing,2nd,allemans
1787,exhausted,suppose,wild,plot,hideous,milwaukee,row,nasty
1788,grama,pick,wrk,twist,breathe,indiana,filling,licked
1789,smelled,wat,11,releasing,blown,h,youp,”
1790,infront,lonely,hrz,music,discipleship,fly,stoddard,frann
1791,dollar,wana,gf,video,worked,ny,bike,twerkin
1792,nissan,anybody,iz,tear,kasey,waas,yelling,triple
1793,rim,luk,fuckinglazy,falls,missed,meaghan,british,saki
1794,cyoute,wen,azz,thiss,speaking,walking,chatting,pea
1795,ive,sumpthin,careof,moviee,bailey,lori,related,shortly
1796,sir,lmbo,yrold,sadd,vday,died,future,campus
1797,bleeding,drawing,costco,becca,kayla,promise,jchs,quality
1798,mode,sketchpad✏,calm,walmart,nudey,petey,clubbin,ben
1799,tspencep,perfectly,cleaned,chapter,literally,worked,strait,jerry
1800,wet,soft,hahaa,lecture,nashiyah,niggahs,peace,mermaid
1801,dream,blondee,turned,60,shotta,crossing,boii,omgg
1802,nike,patine,smelled,taken,shiyah,track,bouta,late
1803,sb,jajajajaja,fish,emotional,fantastic,quoted,spanked,kendra
1804,skateboarding,malditas,tuu,roller,far,yur,absoul,singing
1805,sixth,drogas,tss,coaster,ako,automatically,ritz,either
1806,mill,pues,tu,knee,pa,pu,ybor,thou
1807,aggravate,hay,caliente,medicine,pano,meh,streetlight,ashley
1808,canada,aun,conmigo,tooth,pupunta,fast,rocky,greene
1809,centre,lejos,redskin,dome,kasi,blazing,workout,healthy
1810,vegan,uh,body,niga,mamaya,shower,gunshot,december
1811,gain,convincing,guar,lookin,sa,degree,sounded,26
1812,weight,yoyou,kenny,chip,tour,weather,front,happiness
1813,neck,forbidden,matter,brummetts,miata,turned,understand,syou
1814,tilt,cramping,iphone,korean,cal,ipod,guessin,☝holyhyougs
1815,appointment,tweeting,legit,co,nicest,split,itz,kiss
1816,surgery,teen,bam,bet,luke,spoil,pple,smilesgbyou
1817,anybody,dam,drenched,xoxo,messaged,war,ticklious,jc
1818,gram,estoy,series,city,funn,hammerschlagen,type,movement
1819,woke,lista,facial,lawrenceburg,cloud,starving,lastnight,battle
1820,fever,para,expression,serious,ab,near,kerina,user
1821,dwayne,regresar,casa,issue,30,jef,spinning,lmfao
1822,speaking,realidad,fb,snuggler,ayyee,recent,94,yoga
1823,dq,rew,bash,gonn,emoji,1200,frnt,bigg
1824,byouying,screw,marilyn,errbody,denim,living,u,lake
1825,byou,pjs,monroe,danng,button,trynna,tweeted,filming
1826,gangnam,strike,background,eagle,raid,high,thnx,pink
1827,ettajames,dhey,poster,goda,voodoo,gear,houghton,regular
1828,fml,caught,gentleman,ride,cursed,bo2,atlanta,weirdo
1829,sort,camera,prefer,trust,yep,wcs,mention,sooner
1830,usually,outta,obsessed,reunited,lose,welcome,betty,snow
1831,ignoring,hoop,tijuana,girlfraans,manicure,aboard,21,❄
1832,keeper,arent,los,333,boxer,…,gots,lmfaoo
1833,0pages,regular,vamos,inappropriate,wear,manage,trending,fasho
1834,lag,height,party,middle,argue,collegiate,budget,bought
1835,reply,marcus,doctor,earlier,lived,birthdayy,giddy,incense
1836,celebrating,bennett,normal,uncomfortable,pple,random,bubba,whatta
1837,deadmai,granted,deep,cambiare,dat,junk,gump,hippy
1838,876,vip,social,porque,wen,thou,co,zaydavila
1839,kellycaines,pre,network,eso,hilton,prayer,cut,playy
1840,medieval,callie,doll,llamdas,chiropractic,affected,fast,bestt
1841,tournament,rockin,momma,limitadas,seminar,alzheimers,class,blankie
1842,margarita,whose,fireball,chingo,tomo,myon,filled,pjs
1843,lizzi,katie,aroun,todo,blanket,shane,quick,siren
1844,grille,emily,teonna,se,dayy,tryout,curse,erfect
1845,pic,errdaii,thiss,como,ck,gimp,favoriting,wreck
1846,8,aintt,boyy,diablos,stand,ahahahah,obama,ralph
1847,pregnant,twe,phonee,cancelarlo,sugarplum,badish,pulling,animated
1848,wild,neva,ethicist,twin,gloss,blaah,afganistan,zack
1849,include,plwase,column,coyourse,peppermint,jess,deployed,redid
1850,changing,ooh,evidence,shoyould,rocked,elsewhere,➡,blog
1851,diaper,rice,han,oyout,dakota,covered,➡➡➡➡,graphic
1852,folding,crispy,awkwar,lawrencebyourg,weighs,kevin,yeahh,mail
1853,bright,halloween,johnny,handle,thigh,duck,polish,halo
1854,wouldve,looked,aj,uncle,✋✋and,bummer,everytime,wine
1855,pathetic,purdy,mccarron,bring,currently,prefect,liking,ps3
1856,uk,pink,father,cambodian,jobless,corona,pic,controller
1857,seeing,figured,depressed,fought,tonorrow,draft,artantic,brothertwinnie
1858,opinion,lame,vandross,280lbs,chin,six,hairy,coldd
1859,wahoo,syouperwoman,pant,grown,porto,corrected,tyson,vaughthemingway
1860,generation,layoughing,gladys,woman,julian,sent,truth,ordered
1861,brick,loyoud,knight,boi,buffalo,smallest,ashamed,cooking
1862,deer,gna,bd,werk,wild,smackin,flag,wahoo
1863,migranes,royough,falling,package,wing,yin,inboxing,ladybuug
1864,☞,sa,nun,crashing,crooked,lincoln,dressed,tumbling
1865,☜,jeito,wack,jam,cullen,justin,hitchhiking,x
1866,selling,deitar,used,dream,oak,bridge,horrible,gonee
1867,demo,cabeça,rub,hunger,realized,syoupport,problem,ut
1868,auburn,travesseiro,leg,againn,whore,failyoures,addictive,nevaa
1869,wde,desejar,passion,sdsu,tendacies,yuba,medication,forgotten
1870,☺,um,gone,story,haylee,cooter,grandpa,farm
1871,wasnt,amanhã,picsdo,blessed,kristin,dreading,surgery,capstone
1872,heater,melhor,blurry,light,numba,driving,speaking,kurtis
1873,died,fanny,comee,tunnel,onee,zonked,share,cheddar
1874,hatee,emotinal,us,eyebrow,bitcheezz,create,bean,casual
1875,christmas,greatest,skin,n'aww,pumpkin,tornado,tortilla,cafe
1876,granddaughter,known,retweeting,humiliated,spice,effing,chapala,bottle
1877,wii,maan,secretly,staring,latte,pwomise,dollar,newport
1878,thankyou,thirsty,sending,mt,mm,goodd,trust,laguna
1879,milkshake,kick,goodnight,sac,rivvaa,sean,entiendo,h
1880,realized,yummy,hotel,win,waitin,simpy,como,grease
1881,naughty,achieve,maya,air,begi,simp,hay,0
1882,promise,ther,doubletree,gee,11,devin,gente,cav
1883,❄,bucket,hilton,austin,arm,oops,qe,priceless
