,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
268,stop,waiting,hurt,☀,',homework,house,herr
269,please,wreck,point,steep,hot,ccad,fine,reply
270,slapped,ralph,likee,drm,maainns,schottenstein,20000x,evening
271,face,real,fucking,ha,soo,residence,gone,doe
272,shook,busy,nigga,nap,coolldd,hall,mad,b
273,rag,interesting,givee,amazingg,burned,cream,phone,restaurant
274,doll,hahaha,fuck,find,tongue,learned,died,playing
275,sound,showing,woo,everyone,called,lesson,legging,song
276,man,late,'ll,talk,bitch,using,ecu,person
277,fuck,conflicted,prolly,eating,sure,uv,nce,layough
278,seriously,whether,cuz,public,lmaoo,filter,black,believe
279,anything,polisci,flash,mitchell,ok,lens,',boyought
280,igotta,straight,sometimes,cake,tuesday,big,family,nigga
281,tweetin,engineering,haha,ice,youu,scratch,disown,house
282,soo,amazing,talk,cream,imma,1740mml,bumped,built
283,muchh,nashville,fianceé,yummy,simple,couple,worked,feel
284,idont,seriously,vhat,hard,keri,kissing,company,made
285,jail,want,werng,5,brother,making,ever,ohh
286,third,leave,ima,month,biggest,jealous,happened,another
287,today,hahah,shoot,feel,road,damnit,live,scared
288,kenya,tryin,21,super,rage,marquise,london,popcorn
289,“,say,question,kitchen,world,care,dumber,cocoa
290,wow,yeah,bruh,dining,rolling,rt,person,ondemand
291,report,close,yeah,room,amazing,cheese,listened,lucky
292,obama,far,credit,cleaned,dark,cake,bill,duck
293,kindergarten,away,got,mop,vine,factory,romanowski,cat
294,teacher,bad,doin,floor,mentioned,kimbo,n,comfy
295,confirme,hear,complete,bathroom,lately,slice,really,boy
296,embarrassed,mean,agree,bedroom,school,call,read,☕
297,mama,wo,activerecor,living,age,thats,ca,little
298,water,b,irty,finish,talk,partner,breathe,ra
299,ugh,better,ideal,project,nonstop,crime,smh,sushi
300,dance,release,knowing,beginning,drive,liver,didnt,bar
301,yo,fuck,rest,charlie,nutso,tho,kno,'llneverforget
302,ck,boyz,code,st,bahahahah,slept,avi,first
303,ooh,ya,date,cloud,myouch,whats,gon,played
304,love,mikayla,xbox,aaron,continyoue,happening,na,'ll
305,'ll,sick,real,together,heart,playing,made,care
306,better,mood,text,well,sorry,halo,dayy,meant
307,eating,captain,back,cry,wanted,cuz,mean,foreverr
308,dog,america,5th,teary,scare,4,ton,#
309,food,apartment,texting,eyed,village,could,beautiful,sissy
310,'d,building,mean,must,powerfyoul,concert,thank,grand
311,parent,evacuating,stop,line,josie,2013,buddy,prix
312,rather,fire,please,always,tennessee,sold,h,ready
313,play,think,talking,second,owned,',flippin,away
314,new,woohoo,hour,dinner,coach,heard,jesus,everything
315,paper,great,igotta,even,finna,country,mom,☀
316,going,frekin,tweetin,going,fire,bar,lil,going
317,butt,sarcasm,soo,youu,fed,jukebox,bastard,pedal
318,never,ca,muchh,text,pic,play,question,seen
319,mind,seem,idont,grandma,captain,fucking,adopted,prettiest
320,dad,let,twitter,phone,crunch,stupid,thor,wedding
321,playing,number,jail,arrested,evening,damn,australian,tlaquepaque
322,pyramid,laptop,third,jean,end,cat,accent,yay
323,song,ames,today,laughing,fuckin,real,relaxed,applebee
324,nigga,αδκ,kenya,loud,spending,poor,ai,fav
325,saying,initiation,“,watched,awhile,hopefully,liked,check
326,minute,'re,wow,full,course,taking,soon,exclusive
327,sarcastic,burlington,report,tn,237th,trip,nate,track
328,',anymore,obama,today,walmarts,er,broke,mixtapenobody
329,de,south,kindergarten,coming,missouri,little,foreal,da
330,veritas,windsor,teacher,made,ohh,getting,gave,west
331,deveritas,problem,confirme,self,scared,shapy,hug,heehee
332,yountil,everything,embarrassed,home,iceskating,chicken,kissed,thnx
333,broyought,mind,dro,midway,outdoors,n,fox,katiee
334,friend,si,fixing,international,yeahh,mashed,point,knww
335,seat,tried,tho,airport,man,potato,could,cutee
336,✊✌,three,✌,mdw,arkamdaki,kfc,jus,kate
337,constantly,different,dance,w,koreli,feelin,walk,hahahahahaha
338,around,movie,yo,43,embesil,cut,em,matter
339,thing,impossible,ck,others,cift,6,saw,many
340,yougly,cool,ooh,salmon,cok,inch,devour,enough
341,tell,text,love,1,sabirsiz,hair,sandwich,wow
342,life,ai,dude,oven,kizla,ima,minute,look
